../../data/ACM
2024-12-18 18:04:15
Graph(num_nodes=10942, num_edges=558748,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00087 | Train_Loss: 0.5842 | train Time: 0.1380 | Val_Loss 0.5382 | val Time(s) 0.0637
Epoch 00088 | Train_Loss: 0.5764 | train Time: 0.1430 | Val_Loss 0.5413 | val Time(s) 0.0695
Epoch 00089 | Train_Loss: 0.5723 | train Time: 0.1353 | Val_Loss 0.5502 | val Time(s) 0.0645
Epoch 00090 | Train_Loss: 0.5820 | train Time: 0.1424 | Val_Loss 0.5521 | val Time(s) 0.0655
Epoch 00091 | Train_Loss: 0.5750 | train Time: 0.1315 | Val_Loss 0.5449 | val Time(s) 0.0651
Epoch 00092 | Train_Loss: 0.5699 | train Time: 0.1407 | Val_Loss 0.5338 | val Time(s) 0.0649
Epoch 00093 | Train_Loss: 0.5704 | train Time: 0.1378 | Val_Loss 0.5340 | val Time(s) 0.0785
Epoch 00094 | Train_Loss: 0.5655 | train Time: 0.1001 | Val_Loss 0.5336 | val Time(s) 0.0647
Epoch 00095 | Train_Loss: 0.5608 | train Time: 0.1320 | Val_Loss 0.5313 | val Time(s) 0.0741
Epoch 00096 | Train_Loss: 0.5538 | train Time: 0.1177 | Val_Loss 0.5314 | val Time(s) 0.0640
Epoch 00097 | Train_Loss: 0.5598 | train Time: 0.1416 | Val_Loss 0.5325 | val Time(s) 0.0638
Epoch 00098 | Train_Loss: 0.5539 | train Time: 0.1136 | Val_Loss 0.5389 | val Time(s) 0.0636
Epoch 00099 | Train_Loss: 0.5693 | train Time: 0.1433 | Val_Loss 0.5334 | val Time(s) 0.0641
Epoch 00100 | Train_Loss: 0.5482 | train Time: 0.1428 | Val_Loss 0.5316 | val Time(s) 0.0728
Epoch 00101 | Train_Loss: 0.5484 | train Time: 0.1339 | Val_Loss 0.5327 | val Time(s) 0.0674
Epoch 00102 | Train_Loss: 0.5590 | train Time: 0.1337 | Val_Loss 0.5401 | val Time(s) 0.0642
Epoch 00103 | Train_Loss: 0.5504 | train Time: 0.0904 | Val_Loss 0.5343 | val Time(s) 0.0651
